titulo,valor,metragem,quartos,banheiros,vagas,endereco,link,categoria,tipo,timestamp
"Jurerê Internacional, Florianópolis",R$ 12.000/mês,234 m²,3,2,2,,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-jurere-internacional-florianopolis-sc-234m2-id-2729524462/,aluguel,apartamento,2024-12-20 20:09:54
"Jurerê Internacional, Florianópolis",R$ 400/dia,105 m²,2,3,2,Rua das Piraúnas,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-105m2-id-2508860396/,aluguel,apartamento,2024-12-20 20:09:54
"Jurerê Internacional, Florianópolis",R$ 1.800/dia,146 m²,3,4,2,Avenida dos Búzios,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-jurere-internacional-florianopolis-146m2-id-2657448922/,aluguel,apartamento,2024-12-20 20:09:54
"Jurerê Internacional, Florianópolis",R$ 1.000/dia,60 m²,2,2,1,Avenida dos Búzios,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-60m2-id-2511858599/,aluguel,apartamento,2024-12-20 20:09:54
"Jurerê Internacional, Florianópolis",R$ 300/dia,180 m²,3,3,2,Avenida dos Búzios,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-jurere-internacional-florianopolis-180m2-id-2484517526/,aluguel,apartamento,2024-12-20 20:09:54
"Jurerê Internacional, Florianópolis",R$ 1.200/dia,100 m²,3,3,2,Avenida das Raias,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-jurere-internacional-florianopolis-100m2-id-2664871101/,aluguel,apartamento,2024-12-20 20:09:54
"Jurerê Internacional, Florianópolis",R$ 1.500/dia,104 m²,2,2,1,Rua das Piraúnas,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-104m2-id-2750852022/,aluguel,apartamento,2024-12-20 20:09:54
"Jurerê Internacional, Florianópolis",R$ 3.400/dia,108 m²,2,1,2,Avenida dos Búzios,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-jurere-internacional-florianopolis-108m2-id-2754756824/,aluguel,apartamento,2024-12-20 20:09:54
"Jurerê Internacional, Florianópolis",R$ 400/dia,110 m²,2,3,1,Avenida dos Salmões,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-110m2-id-2488201180/,aluguel,apartamento,2024-12-20 20:09:54
"Jurerê Internacional, Florianópolis",R$ 2.000/dia,100 m²,2,3,2,,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-100m2-id-2538368478/,aluguel,apartamento,2024-12-20 20:09:54
"Jurerê Internacional, Florianópolis",R$ 2.000/dia,90 m²,2,2,2,Avenida das Raias,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-90m2-id-2549070216/,aluguel,apartamento,2024-12-20 20:09:54
"Jurerê Internacional, Florianópolis",R$ 1.000/dia,80 m²,2,2,1,Avenida das Raias,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-80m2-id-2638112143/,aluguel,apartamento,2024-12-20 20:09:54
