titulo,valor,metragem,quartos,banheiros,vagas,endereco,link,categoria,tipo,timestamp
"Estreito, Florianópolis",R$ 4.800/mês,72 m²,3,1,1,Rua Álvaro Cardoso,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-mobiliado-estreito-florianopolis-sc-72m2-id-2762077833/,aluguel,casa,2024-12-24 18:36:09
"Rio Tavares, Florianópolis",R$ 7.500/mês,138 m²,3,3,3,Rua Silvio Lopes Araújo,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-quintal-rio-tavares-florianopolis-sc-138m2-id-2757861632/,aluguel,casa,2024-12-24 18:36:09
"Jurerê, Florianópolis",R$ 8.000/mês,450 m²,3,2,3,Rua das Tainhotas,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-mobiliado-jurere-florianopolis-sc-450m2-id-2756508860/,aluguel,casa,2024-12-24 18:36:09
"Canasvieiras, Florianópolis",R$ 1.100/dia,115 m²,3,2,3,Rua Desembargador Rid Silva,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-mobiliado-canasvieiras-florianopolis-115m2-id-2756552745/,aluguel,casa,2024-12-24 18:36:09
"Daniela, Florianópolis",R$ 700/dia,150 m²,3,2,3,Avenida das Pitangueiras,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-daniela-florianopolis-150m2-id-2763937919/,aluguel,casa,2024-12-24 18:36:09
"Ingleses do Rio Vermelho, Florianópolis",R$ 1.200/dia,250 m²,4,3,4,Rua dos Canudos,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-ingleses-do-rio-vermelho-florianopolis-250m2-id-2764731215/,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 2.500/dia,300 m²,4,4,2,Rua dos Bijupirás,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-jurere-internacional-florianopolis-300m2-id-2459347042/,aluguel,casa,2024-12-24 18:36:09
"Santo Antônio de Lisboa, Florianópolis",R$ 4.000/mês,109 m²,2,2,2,Rua Teodoro Manoel Dias,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-santo-antonio-de-lisboa-florianopolis-109m2-id-2764134817/,aluguel,casa,2024-12-24 18:36:09
"Ingleses do Rio Vermelho, Florianópolis",R$ 1.500/dia,250 m²,4,4,3,Rua Deputado Olice Caldas,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-ingleses-do-rio-vermelho-florianopolis-250m2-id-2759706118/,aluguel,casa,2024-12-24 18:36:09
"Canasvieiras, Florianópolis",R$ 1.350/dia,105 - 115 m²,3,2 - 3,2 - 3,Rua Rodolfo Hickel,,aluguel,casa,2024-12-24 18:36:09
"Canasvieiras, Florianópolis",R$ 1.350/dia,105 - 115 m²,3,2 - 3,2 - 3,Rua Rodolfo Hickel,,aluguel,casa,2024-12-24 18:36:09
