titulo,valor,metragem,quartos,banheiros,vagas,endereco,link,categoria,tipo,timestamp
"Coqueiros, Florianópolis",R$ 7.000/mês,174 m²,3,2,10,Rua Santos Lostada,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-mobiliado-coqueiros-florianopolis-sc-174m2-id-2721022862/,aluguel,casa,2024-12-26 01:40:10
"Lagoa da Conceição, Florianópolis",R$ 11.000/mês,300 m²,4,3,2,Rua Vereador Osni Ortiga,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-com-churrasqueira-lagoa-da-conceicao-florianopolis-sc-300m2-id-2761371814/,aluguel,casa,2024-12-26 01:40:10
"Santo Antônio de Lisboa, Florianópolis",R$ 10.500/mês,130 m²,3,4,2,Rua de Pádua,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-santo-antonio-de-lisboa-florianopolis-sc-130m2-id-2754896343/,aluguel,casa,2024-12-26 01:40:10
"Ingleses do Rio Vermelho, Florianópolis",R$ 2.500/mês,114 m²,2,1,1,Servidão Flor,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-ingleses-do-rio-vermelho-florianopolis-114m2-id-2765229036/,aluguel,casa,2024-12-26 01:40:10
"Vargem Grande, Florianópolis",R$ 1.850/mês,51 m²,2,1,1,Rua João Pacheco,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-vargem-grande-florianopolis-51m2-id-2765228631/,aluguel,casa,2024-12-26 01:40:10
"Ingleses do Rio Vermelho, Florianópolis",R$ 1.200/dia,250 m²,4,3,4,Rua dos Canudos,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-ingleses-do-rio-vermelho-florianopolis-250m2-id-2764731215/,aluguel,casa,2024-12-26 01:40:10
"Praia Brava, Florianópolis",R$ 1.000/dia,160 m²,3,2,3,Avenida Epitácio Bittencourt,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-praia-brava-florianopolis-160m2-id-2765008695/,aluguel,casa,2024-12-26 01:40:10
"Jurerê Internacional, Florianópolis",R$ 2.500/dia,300 m²,4,4,2,Rua dos Bijupirás,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-jurere-internacional-florianopolis-300m2-id-2459347042/,aluguel,casa,2024-12-26 01:40:10
"Ingleses do Rio Vermelho, Florianópolis",R$ 4.000/mês,87 m²,3,1,1,Rua Caminho do Sol,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-ingleses-do-rio-vermelho-florianopolis-87m2-id-2765228632/,aluguel,casa,2024-12-26 01:40:10
"Ingleses do Rio Vermelho, Florianópolis",R$ 1.500/dia,250 m²,4,4,3,Rua Deputado Olice Caldas,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-ingleses-do-rio-vermelho-florianopolis-250m2-id-2759706118/,aluguel,casa,2024-12-26 01:40:10
