titulo,valor,metragem,quartos,banheiros,vagas,endereco,link,categoria,tipo,timestamp
"Trindade, Florianópolis",R$ 796.468,44 m²,1,1,1,Rua Professor Simão José Hess,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-academia-trindade-florianopolis-sc-44m2-id-2683574239/,venda,apartamento,2024-12-25 17:28:45
"Campeche, Florianópolis",R$ 728.698,48 m²,1,2,1,Rua da Capela,https://www.zapimoveis.com.br/lancamento/venda-apartamento-1-quarto-campeche-florianopolis-sc-48m2-id-2567566261/,venda,apartamento,2024-12-25 17:28:45
"Campeche, Florianópolis",R$ 930.000,50 m²,1,1,,Rua Nivaldo Dias,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-mobiliado-campeche-florianopolis-sc-50m2-id-2702230378/,venda,apartamento,2024-12-25 17:28:45
"Carvoeira, Florianópolis",R$ 435.000,45 m²,1,2,1,Rua Marcus Aurélio Homem,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-carvoeira-florianopolis-sc-45m2-id-2759510814/,venda,apartamento,2024-12-25 17:28:45
"Coloninha, Florianópolis",R$ 649.000,71 m²,1,1,1,Rua Araci Vaz Callado,,venda,apartamento,2024-12-25 17:28:45
"Coloninha, Florianópolis",R$ 649.000,71 m²,1,1,1,Rua Araci Vaz Callado,,venda,apartamento,2024-12-25 17:28:45
"Ingleses do Rio Vermelho, Florianópolis",R$ 520.000,33 m²,1,1,1,Rua Adiles Della Giustina,https://www.zapimoveis.com.br/imovel/venda-loft-1-quarto-mobiliado-ingleses-do-rio-vermelho-florianopolis-33m2-id-2765338107/,venda,apartamento,2024-12-25 17:28:45
"Ribeirão da Ilha, Florianópolis",R$ 690.000,51 m²,1,1,1,,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-churrasqueira-ribeirao-da-ilha-florianopolis-51m2-id-2683857419/,venda,apartamento,2024-12-25 17:28:45
"Centro, Florianópolis",R$ 399.000,39 - 40 m²,1,1,,Rua Trajano,,venda,apartamento,2024-12-25 17:28:45
"Centro, Florianópolis",R$ 399.000,39 - 40 m²,1,1,,Rua Trajano,,venda,apartamento,2024-12-25 17:28:45
"Centro, Florianópolis",R$ 403.000,57 m²,1,1,,Rua Felipe Schmidt,,venda,apartamento,2024-12-25 17:28:45
"Centro, Florianópolis",R$ 403.000,57 m²,1,1,,Rua Felipe Schmidt,,venda,apartamento,2024-12-25 17:28:45
"Coqueiros, Florianópolis",R$ 630.000,37 m²,1,1,1,Rua Marques de Carvalho,https://www.zapimoveis.com.br/imovel/venda-studio-1-quarto-com-piscina-coqueiros-florianopolis-37m2-id-2763595921/,venda,apartamento,2024-12-25 17:28:45
"Ribeirão da Ilha, Florianópolis",R$ 515.000,39 - 44 m²,1,1 - 2,1,Rua Jabuticabeira do Sul,,venda,apartamento,2024-12-25 17:28:45
"Ribeirão da Ilha, Florianópolis",R$ 515.000,39 - 44 m²,1,1 - 2,1,Rua Jabuticabeira do Sul,,venda,apartamento,2024-12-25 17:28:45
"Canasvieiras, Florianópolis",R$ 340.000,17 m²,1,1,,Rua Waldemiro José Carlson,https://www.zapimoveis.com.br/imovel/venda-studio-1-quarto-com-piscina-canasvieiras-florianopolis-17m2-id-2724995538/,venda,apartamento,2024-12-25 17:28:45
"Jardim Atlântico, Florianópolis",R$ 490.000,57 m²,1,2,1,Rua Pintor Eduardo Dias,https://www.zapimoveis.com.br/imovel/venda-studio-1-quarto-com-piscina-jardim-atlantico-florianopolis-57m2-id-2648805459/,venda,apartamento,2024-12-25 17:28:45
"Santo Antônio de Lisboa, Florianópolis",R$ 493.103,46 m²,1,2,1,Estrada Caminho dos Açores,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-santo-antonio-de-lisboa-florianopolis-46m2-id-2656887302/,venda,apartamento,2024-12-25 17:28:45
"Trindade, Florianópolis",R$ 958.000,53 m²,1,1,1,Rua Professora Maria Flora Pausewang,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-mobiliado-trindade-florianopolis-53m2-id-2721776354/,venda,apartamento,2024-12-25 17:28:45
