titulo,valor,metragem,quartos,banheiros,vagas,endereco,link,categoria,tipo,timestamp
"Agronômica, Florianópolis",R$ 1.810.000,101 m²,3,3,3,Travessa Felipe Godinho e Silva,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-agronomica-florianopolis-sc-101m2-id-2715130307/,venda,apartamento,2024-12-25 23:23:34
"Agronômica, Florianópolis",Valor sob consulta,122 - 242 m²,3,4,3,Rua Allan Kardec,https://www.zapimoveis.com.br/lancamento/venda-cobertura-3-quartos-agronomica-florianopolis-sc-242m2-id-2750249526/,venda,apartamento,2024-12-25 23:23:34
"Centro, Florianópolis",R$ 1.760.000,144 m²,3,3,1,Avenida Jornalista Rubens de Arruda Ramos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-ar-condicionado-centro-florianopolis-sc-144m2-id-2733401379/,venda,apartamento,2024-12-25 23:23:34
"Centro, Florianópolis",R$ 1.250.000,135 m²,3,3,2,Rua Tenente Silveira,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-centro-florianopolis-sc-135m2-id-2736123666/,venda,apartamento,2024-12-25 23:23:34
"Canto, Florianópolis",R$ 610.000,117 m²,3,3,1,Rua Afonso Pena,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-canto-florianopolis-117m2-id-2766509837/,venda,apartamento,2024-12-25 23:23:34
"Canto, Florianópolis",R$ 1.100.000,109 - 111 m²,3,2 - 4,1 - 2,Rua Agapito Veloso,,venda,apartamento,2024-12-25 23:23:34
"Canto, Florianópolis",R$ 1.100.000,109 - 111 m²,3,2 - 4,1 - 2,Rua Agapito Veloso,,venda,apartamento,2024-12-25 23:23:34
"Ingleses do Rio Vermelho, Florianópolis",R$ 1.090.000,121 m²,3,3,1,Rua Adiles Della Giustina,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-ingleses-do-rio-vermelho-florianopolis-121m2-id-2759590615/,venda,apartamento,2024-12-25 23:23:34
"Monte Verde, Florianópolis",R$ 1.249.000,94 - 99 m²,3,1 - 3,1 - 2,Rodovia Virgílio Várzea,,venda,apartamento,2024-12-25 23:23:34
"Monte Verde, Florianópolis",R$ 1.249.000,94 - 99 m²,3,1 - 3,1 - 2,Rodovia Virgílio Várzea,,venda,apartamento,2024-12-25 23:23:34
"Canasvieiras, Florianópolis",A partir deR$ 304.777,31 - 183 m²,0 - 3,1 - 3,0 - 2,Rua das Flores,https://www.zapimoveis.com.br/lancamento/venda-apartamento-3-quartos-canasvieiras-florianopolis-sc-183m2-id-2728815841/,venda,apartamento,2024-12-25 23:23:34
"Balneário, Florianópolis",R$ 540.000,90 m²,3,3,1,,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-salao-de-festas-balneario-florianopolis-90m2-id-2766217127/,venda,apartamento,2024-12-25 23:23:34
"Cachoeira do Bom Jesus, Florianópolis",R$ 865.000,129 m²,3,3,1,Avenida Luiz Boiteux Piazza,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-cachoeira-do-bom-jesus-florianopolis-129m2-id-2766084213/,venda,apartamento,2024-12-25 23:23:34
"Jardim Atlântico, Florianópolis",R$ 1.250.000,116 m²,3,4,2,Avenida Atlântica,,venda,apartamento,2024-12-25 23:23:34
"Jardim Atlântico, Florianópolis",R$ 1.250.000,116 m²,3,4,2,Avenida Atlântica,,venda,apartamento,2024-12-25 23:23:34
"Centro, Florianópolis",R$ 1.850.000,162 m²,3,4,2,Praça Quinze de Novembro,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-centro-florianopolis-162m2-id-2484520888/,venda,apartamento,2024-12-25 23:23:34
"Coloninha, Florianópolis",R$ 799.000,99 m²,3,5,2,Rua Joaquim Nabuco,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-academia-coloninha-florianopolis-99m2-id-2727864547/,venda,apartamento,2024-12-25 23:23:34
"Jardim Atlântico, Florianópolis",R$ 790.000,104 m²,3,3,1,Rua José Beiro,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jardim-atlantico-florianopolis-104m2-id-2766510879/,venda,apartamento,2024-12-25 23:23:34
"Agronômica, Florianópolis",A partir de R$ 1.433.789,78 - 211 m²,2 - 3,2 - 3,1 - 3,Rua Allan Kardec,https://www.zapimoveis.com.br/lancamento/venda-apartamento-3-quartos-agronomica-florianopolis-sc-211m2-id-2744841416/,venda,apartamento,2024-12-25 23:23:34
"Capoeiras, Florianópolis",R$ 589.000,94 m²,3,3,1,Rua Doutor Odilon Gallotti,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-capoeiras-florianopolis-94m2-id-2634887266/,venda,apartamento,2024-12-25 23:23:34
"João Paulo, Florianópolis",R$ 4.000.000,162 m²,3,4,3,Rodovia João Paulo,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-joao-paulo-florianopolis-162m2-id-2556320922/,venda,apartamento,2024-12-25 23:23:34
"Santo Antônio de Lisboa, Florianópolis",R$ 1.480.000,162 m²,3,4,2,Rua de Pádua,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-quintal-santo-antonio-de-lisboa-florianopolis-162m2-id-2656485571/,venda,apartamento,2024-12-25 23:23:34
"Capoeiras, Florianópolis",R$ 680.000,130 m²,3,2 - 3,2,Avenida Vereador Nagib Jabor,,venda,apartamento,2024-12-25 23:23:34
"Capoeiras, Florianópolis",R$ 680.000,130 m²,3,2 - 3,2,Avenida Vereador Nagib Jabor,,venda,apartamento,2024-12-25 23:23:34
"João Paulo, Florianópolis",R$ 3.091.579,158 - 167 m²,3,3,2 - 3,Rodovia João Paulo,,venda,apartamento,2024-12-25 23:23:34
"João Paulo, Florianópolis",R$ 3.091.579,158 - 167 m²,3,3,2 - 3,Rodovia João Paulo,,venda,apartamento,2024-12-25 23:23:34
"Canto, Florianópolis",R$ 1.401.745,109 - 111 m²,3,3 - 4,2,Rua Agapito Veloso,,venda,apartamento,2024-12-25 23:23:34
"Canto, Florianópolis",R$ 1.401.745,109 - 111 m²,3,3 - 4,2,Rua Agapito Veloso,,venda,apartamento,2024-12-25 23:23:34
"Centro, Florianópolis",R$ 4.980.000,175 - 468 m²,3 - 4,5 - 6,2 - 3,Rua Felipe Schmidt,https://www.zapimoveis.com.br/lancamento/venda-apartamento-4-quartos-centro-florianopolis-sc-468m2-id-2689005132/,venda,apartamento,2024-12-25 23:23:34
"Jardim Atlântico, Florianópolis",R$ 885.000,92 m²,3,3,2,Rua Celso Bayma,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-semiolimpica-jardim-atlantico-florianopolis-92m2-id-2627306479/,venda,apartamento,2024-12-25 23:23:34
"Jardim Atlântico, Florianópolis",R$ 1.250.000,115 - 116 m²,3,3 - 4,2,Avenida Atlântica,,venda,apartamento,2024-12-25 23:23:34
"Jardim Atlântico, Florianópolis",R$ 1.250.000,115 - 116 m²,3,3 - 4,2,Avenida Atlântica,,venda,apartamento,2024-12-25 23:23:34
"Ingleses do Rio Vermelho, Florianópolis",R$ 995.000,98 m²,3,3,2,Rua Abel Álvares Cabral Júnior,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-ingleses-do-rio-vermelho-florianopolis-98m2-id-2765741723/,venda,apartamento,2024-12-25 23:23:34
"Canto, Florianópolis",R$ 1.110.000,111 m²,3,4,1,Avenida Santa Catarina,,venda,apartamento,2024-12-25 23:23:34
"Canto, Florianópolis",R$ 1.110.000,111 m²,3,4,1,Avenida Santa Catarina,,venda,apartamento,2024-12-25 23:23:34
"João Paulo, Florianópolis",R$ 3.380.000,130 m²,2 - 3,3 - 4,2,Rodovia João Paulo,,venda,apartamento,2024-12-25 23:23:34
"João Paulo, Florianópolis",R$ 3.380.000,130 m²,2 - 3,3 - 4,2,Rodovia João Paulo,,venda,apartamento,2024-12-25 23:23:34
"Rio Tavares, Florianópolis",R$ 1.300.000,116 m²,3,3 - 4,2,Rua Silvio Lopes Araújo,,venda,apartamento,2024-12-25 23:23:34
"Rio Tavares, Florianópolis",R$ 1.300.000,116 m²,3,3 - 4,2,Rua Silvio Lopes Araújo,,venda,apartamento,2024-12-25 23:23:34
