titulo,valor,metragem,quartos,banheiros,vagas,endereco,link,categoria,tipo,timestamp
"Cachoeira do Bom Jesus, Florianópolis",R$ 940.000,150 m²,4,3,3,Servidão do Sossego,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-mobiliado-cachoeira-do-bom-jesus-florianopolis-sc-150m2-id-2765006179/,venda,casa,2024-12-26 02:02:50
"João Paulo, Florianópolis",R$ 4.900.000,550 m²,5,6,3,Rodovia João Paulo,https://www.zapimoveis.com.br/imovel/venda-casa-5-quartos-com-quarto-wc-empregada-joao-paulo-florianopolis-sc-550m2-id-2723404551/,venda,casa,2024-12-26 02:02:50
"Capoeiras, Florianópolis",R$ 1.227.400,172 m²,4,2,2,Rua Padre Luiz Zuber,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-piscina-capoeiras-florianopolis-sc-172m2-id-2766396437/,venda,casa,2024-12-26 02:02:50
"Ingleses do Rio Vermelho, Florianópolis",R$ 650.000,182 m²,5,2,3,Travessa Jaguaribe,https://www.zapimoveis.com.br/imovel/venda-casa-5-quartos-com-churrasqueira-ingleses-do-rio-vermelho-florianopolis-182m2-id-2661996204/,venda,casa,2024-12-26 02:02:50
"Ingleses do Rio Vermelho, Florianópolis",R$ 591.040,180 m²,6,4,3,Servidão João Magalhães,https://www.zapimoveis.com.br/imovel/venda-casa-6-quartos-ingleses-do-rio-vermelho-florianopolis-180m2-id-2765912899/,venda,casa,2024-12-26 02:02:50
"Ingleses do Rio Vermelho, Florianópolis",R$ 499.000,196 m²,4,5,2,Servidão Ademir Domingos dos Santos,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-churrasqueira-ingleses-do-rio-vermelho-florianopolis-196m2-id-2765543119/,venda,casa,2024-12-26 02:02:50
"Ingleses do Rio Vermelho, Florianópolis",R$ 429.120,150 m²,5,5,1,Servidão Caminho do Sítio,https://www.zapimoveis.com.br/imovel/venda-casa-5-quartos-com-ar-condicionado-ingleses-do-rio-vermelho-florianopolis-150m2-id-2765916530/,venda,casa,2024-12-26 02:02:50
"Ingleses do Rio Vermelho, Florianópolis",R$ 640.000,106 m²,4,3,3,Servidão Maria Emília da Silva,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-piscina-ingleses-do-rio-vermelho-florianopolis-106m2-id-2500234997/,venda,casa,2024-12-26 02:02:50
"Rio Tavares, Florianópolis",R$ 799.810,110 m²,4,3,2,Servidão Vilmar Sotero de Farias,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-rio-tavares-florianopolis-110m2-id-2766016869/,venda,casa,2024-12-26 02:02:50
"São João do Rio Vermelho, Florianópolis",R$ 520.000,132 m²,4,1 - 2,2,Servidão Ester Gonçalves,,venda,casa,2024-12-26 02:02:50
