titulo,valor,metragem,quartos,banheiros,vagas,endereco,link,categoria,tipo,timestamp
"São João do Rio Vermelho, Florianópolis",R$ 440.000,306 m²,,,,Avenida Red Park,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-sao-joao-do-rio-vermelho-florianopolis-sc-306m2-id-2700469675/,venda,terreno,2024-12-26 07:08:45
"Vargem Grande, Florianópolis",R$ 490.000,460 m²,,,,Rodovia Armando Calil Bulos,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-vargem-grande-florianopolis-sc-460m2-id-2658963770/,venda,terreno,2024-12-26 07:08:45
"Jurerê Internacional, Florianópolis",R$ 3.000.000,450 m²,,,,,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jurere-internacional-florianopolis-sc-450m2-id-2746809852/,venda,terreno,2024-12-26 07:08:45
"Vargem Pequena, Florianópolis",R$ 636.000,716 m²,,,,Estrada Manoel Leôncio de Souza Brito,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-vargem-pequena-florianopolis-716m2-id-2765009253/,venda,terreno,2024-12-26 07:08:45
"Ratones, Florianópolis",R$ 950.000,2300 m²,,,,Rua João Januário da Silva,,venda,terreno,2024-12-26 07:08:45
"Ratones, Florianópolis",R$ 950.000,2300 m²,,,,Rua João Januário da Silva,,venda,terreno,2024-12-26 07:08:45
"Vargem Grande, Florianópolis",R$ 649.000,4579 m²,,,,Estrada Cristóvão Machado de Campos,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-vargem-grande-florianopolis-4579m2-id-2765006890/,venda,terreno,2024-12-26 07:08:45
"Cachoeira do Bom Jesus, Florianópolis",R$ 880.000,387 m²,,,,Rua Leonel Pereira,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-cachoeira-do-bom-jesus-florianopolis-387m2-id-2765009752/,venda,terreno,2024-12-26 07:08:45
"Cachoeira do Bom Jesus, Florianópolis",R$ 1.500.000,2100 m²,,,,Servidão Nair Francisca de Souto,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-cachoeira-do-bom-jesus-florianopolis-2100m2-id-2765008958/,venda,terreno,2024-12-26 07:08:45
"Ratones, Florianópolis",R$ 890.000,603 m²,,,,,,venda,terreno,2024-12-26 07:08:45
"Ratones, Florianópolis",R$ 890.000,603 m²,,,,,,venda,terreno,2024-12-26 07:08:45
"Jardim Atlântico, Florianópolis",R$ 575.000,365 m²,,,,Rua Eduardo Horn,,venda,terreno,2024-12-26 07:08:45
"Jardim Atlântico, Florianópolis",R$ 575.000,365 m²,,,,Rua Eduardo Horn,,venda,terreno,2024-12-26 07:08:45
"Ratones, Florianópolis",R$ 600.000,5069 m²,,,,,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-ratones-florianopolis-5069m2-id-2763558863/,venda,terreno,2024-12-26 07:08:45
"Itacorubi, Florianópolis",R$ 1.158.000,534 m²,,,,Rua Rodrigo Rampinelli Jeremias,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-itacorubi-florianopolis-534m2-id-2717523737/,venda,terreno,2024-12-26 07:08:45
"Cachoeira do Bom Jesus, Florianópolis",R$ 690.000,390 m²,,,,Rua Leonel Pereira,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-cachoeira-do-bom-jesus-florianopolis-390m2-id-2765006682/,venda,terreno,2024-12-26 07:08:45
"Vargem Grande, Florianópolis",R$ 600.000,488 m²,,,,,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-vargem-grande-florianopolis-488m2-id-2664493095/,venda,terreno,2024-12-26 07:08:45
"Vargem Grande, Florianópolis",R$ 650.000,800 m²,,,,Estrada Cristóvão Machado de Campos,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-vargem-grande-florianopolis-800m2-id-2500236679/,venda,terreno,2024-12-26 07:08:45
"Vargem Grande, Florianópolis",R$ 590.000,450 m²,,,,Rua da Palmeira Real,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-vargem-grande-florianopolis-450m2-id-2561726947/,venda,terreno,2024-12-26 07:08:45
"Ribeirão da Ilha, Florianópolis",R$ 650.000,450 m²,,,,,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-ribeirao-da-ilha-florianopolis-450m2-id-2763169524/,venda,terreno,2024-12-26 07:08:45
"Vargem Pequena, Florianópolis",R$ 650.000,520 m²,,,,Rodovia José Carlos Daux,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-vargem-pequena-florianopolis-520m2-id-2759459066/,venda,terreno,2024-12-26 07:08:45
