titulo,valor,metragem,quartos,banheiros,vagas,endereco,link,categoria,tipo,timestamp
"Campeche, Florianópolis",R$ 7.800/mês,187 m²,2,2,1,Servidão Catavento,https://www.zapimoveis.com.br/imovel/aluguel-cobertura-2-quartos-com-churrasqueira-campeche-florianopolis-sc-187m2-id-2751923112/,aluguel,apartamento,2024-12-25 16:50:52
"Campeche, Florianópolis",R$ 37.000/mês,744 m²,5,5,3,Avenida Campeche,https://www.zapimoveis.com.br/imovel/aluguel-cobertura-5-quartos-com-piscina-campeche-florianopolis-sc-744m2-id-2755525998/,aluguel,apartamento,2024-12-25 16:50:52
"Balneário, Florianópolis",R$ 3.200/mês,89 m²,2,2,2,Rua Coronel Pedro Demoro,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-balneario-florianopolis-sc-89m2-id-2715447794/,aluguel,apartamento,2024-12-25 16:50:52
"Carvoeira, Florianópolis",R$ 3.000/mês,89 m²,3,3,2,Rua José João Martendal,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-carvoeira-florianopolis-89m2-id-2766178219/,aluguel,apartamento,2024-12-25 16:50:52
"Ingleses do Rio Vermelho, Florianópolis",R$ 570/dia,70 m²,2,2,1,Estrada Dom João Becker,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-ingleses-do-rio-vermelho-florianopolis-70m2-id-2766370320/,aluguel,apartamento,2024-12-25 16:50:52
"Centro, Florianópolis",R$ 2.500/mês,64 m²,1,1,1,Rua Duarte Schutel,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-centro-florianopolis-64m2-id-2765633127/,aluguel,apartamento,2024-12-25 16:50:52
"Centro, Florianópolis",R$ 2.500/mês,44 m²,1,1,1,Rua Cristóvão Nunes Pires,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-area-de-servico-centro-florianopolis-44m2-id-2764119328/,aluguel,apartamento,2024-12-25 16:50:52
"Ingleses do Rio Vermelho, Florianópolis",R$ 570/dia,70 m²,2,2,1,Estrada Dom João Becker,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-ingleses-do-rio-vermelho-florianopolis-70m2-id-2766369942/,aluguel,apartamento,2024-12-25 16:50:52
"Coqueiros, Florianópolis",R$ 2.000/mês,49 m²,1,1,,Rua Doutor Abel Capela,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-coqueiros-florianopolis-49m2-id-2766371656/,aluguel,apartamento,2024-12-25 16:50:52
"Abraão, Florianópolis",R$ 3.000/mês,72 m²,2,2,1,Rua João Meirelles,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-abraao-florianopolis-72m2-id-2765750958/,aluguel,apartamento,2024-12-25 16:50:52
"Centro, Florianópolis",R$ 4.500/mês,87 m²,2,2,1,Rua Felipe Schmidt,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-centro-florianopolis-87m2-id-2765812522/,aluguel,apartamento,2024-12-25 16:50:52
"Trindade, Florianópolis",R$ 3.750/mês,37 m²,1,2,2,Rua São Tomáz de Aquino,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-trindade-florianopolis-37m2-id-2766178116/,aluguel,apartamento,2024-12-25 16:50:52
"Coloninha, Florianópolis",R$ 2.900/mês,64 m²,2,2,2,Rua Olegário da Silva Ramos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-coloninha-florianopolis-64m2-id-2765628925/,aluguel,apartamento,2024-12-25 16:50:52
"Jardim Atlântico, Florianópolis",R$ 5.500/mês,128 m²,3,3,2,Avenida Atlântica,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-jardim-atlantico-florianopolis-128m2-id-2763207051/,aluguel,apartamento,2024-12-25 16:50:52
"Trindade, Florianópolis",R$ 2.900/mês,70 m²,2,1,1,,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-ar-condicionado-trindade-florianopolis-70m2-id-2766221214/,aluguel,apartamento,2024-12-25 16:50:52
"Capoeiras, Florianópolis",R$ 1.300/mês,33 m²,1,1,,Praça Paulo Schlemper,https://www.zapimoveis.com.br/imovel/aluguel-quitinete-1-quarto-capoeiras-florianopolis-33m2-id-2765752825/,aluguel,apartamento,2024-12-25 16:50:52
"Capoeiras, Florianópolis",R$ 1.900/mês,55 m²,2,1,1,Rua Comandante José Ricardo Nunes,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-capoeiras-florianopolis-55m2-id-2765235416/,aluguel,apartamento,2024-12-25 16:50:52
"Abraão, Florianópolis",R$ 5.500/mês,97 m²,3,3,2,Rua João Meirelles,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-abraao-florianopolis-97m2-id-2765619220/,aluguel,apartamento,2024-12-25 16:50:52
"Coqueiros, Florianópolis",R$ 2.250/mês,88 m²,2,2,1,Rua Doutor Abel Capela,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-coqueiros-florianopolis-88m2-id-2765632127/,aluguel,apartamento,2024-12-25 16:50:52
"Ingleses do Rio Vermelho, Florianópolis",R$ 950/dia,62 m²,2,1,1,Estrada Dom João Becker,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-ingleses-do-rio-vermelho-florianopolis-62m2-id-2663066266/,aluguel,apartamento,2024-12-25 16:50:52
"Saco dos Limões, Florianópolis",R$ 3.300/mês,38 m²,1,1,1,Rua João Motta Espezim,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-piscina-saco-dos-limoes-florianopolis-38m2-id-2766198714/,aluguel,apartamento,2024-12-25 16:50:52
"Córrego Grande, Florianópolis",R$ 3.500/mês,73 m²,2,2,1,Rua Capitão Américo,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-corrego-grande-florianopolis-73m2-id-2766184421/,aluguel,apartamento,2024-12-25 16:50:52
"Córrego Grande, Florianópolis",R$ 3.600/mês,36 m²,1,1,1,Rua João Pio Duarte Silva,https://www.zapimoveis.com.br/imovel/aluguel-studio-1-quarto-corrego-grande-florianopolis-36m2-id-2764375230/,aluguel,apartamento,2024-12-25 16:50:52
"Estreito, Florianópolis",R$ 3.800/mês,82 m²,3,3,2,Rua Libia Cruz,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-churrasqueira-estreito-florianopolis-82m2-id-2765633417/,aluguel,apartamento,2024-12-25 16:50:52
"Campeche, Florianópolis",R$ 4.500/mês,55 m²,1,1,1,Avenida Campeche,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-piscina-campeche-florianopolis-55m2-id-2752456650/,aluguel,apartamento,2024-12-25 16:50:52
"Campeche, Florianópolis",R$ 4.500/mês,85 m²,2,3,1,Avenida Campeche,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-churrasqueira-campeche-florianopolis-85m2-id-2766171522/,aluguel,apartamento,2024-12-25 16:50:52
