titulo,valor,metragem,quartos,banheiros,vagas,endereco,link,categoria,tipo,timestamp
"Rio Tavares, Florianópolis",R$ 1.550.000,144 m²,2,3,2,Rua Silvio Lopes Araújo,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-rio-tavares-florianopolis-sc-144m2-id-2729219919/,venda,apartamento,2024-12-25 18:21:32
"Agronômica, Florianópolis",A partir deR$ 1.504.539,78 - 80 m²,2,2,1 - 2,Rua Allan Kardec,https://www.zapimoveis.com.br/lancamento/venda-apartamento-2-quartos-agronomica-florianopolis-sc-80m2-id-2750249609/,venda,apartamento,2024-12-25 18:21:32
"Canto, Florianópolis",R$ 820.000,79 m²,2,2,2,Rua Olavo Bilac,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-estreito-florianopolis-sc-79m2-id-2721180228/,venda,apartamento,2024-12-25 18:21:32
"Carvoeira, Florianópolis",R$ 485.000,56 m²,2,1,1,Rua Capitão Romualdo de Barros,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-interfone-carvoeira-florianopolis-sc-56m2-id-2743401877/,venda,apartamento,2024-12-25 18:21:32
"Balneário, Florianópolis",R$ 599.000,76 m²,2,2,2,Rua Raimundo Correia,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-salao-de-festas-balneario-florianopolis-76m2-id-2765789116/,venda,apartamento,2024-12-25 18:21:32
"Coqueiros, Florianópolis",R$ 780.000,57 m²,2,1,1,Rua Fritz Muller,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-coqueiros-florianopolis-57m2-id-2765788117/,venda,apartamento,2024-12-25 18:21:32
"Ingleses do Rio Vermelho, Florianópolis",R$ 300.000,55 m²,2,2,1,Rua Paulina Marques dos Santos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-ingleses-do-rio-vermelho-florianopolis-55m2-id-2766330014/,venda,apartamento,2024-12-25 18:21:32
"Ingleses do Rio Vermelho, Florianópolis",R$ 378.540,62 m²,2,2,1,Rua Paulina Marques dos Santos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-ingleses-do-rio-vermelho-florianopolis-62m2-id-2765917962/,venda,apartamento,2024-12-25 18:21:32
"Agronômica, Florianópolis",A partir deR$ 1.433.789,78 - 211 m²,2 - 3,2 - 3,1 - 3,Rua Allan Kardec,https://www.zapimoveis.com.br/lancamento/venda-apartamento-3-quartos-agronomica-florianopolis-sc-211m2-id-2744841416/,venda,apartamento,2024-12-25 18:21:32
"Ingleses do Rio Vermelho, Florianópolis",R$ 320.000,74 m²,2,2,1,,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-interfone-ingleses-do-rio-vermelho-florianopolis-74m2-id-2766329324/,venda,apartamento,2024-12-25 18:21:32
"Ingleses do Rio Vermelho, Florianópolis",R$ 320.000,53 m²,2,1,1,Travessa Nildo Neponoceno Fernandes,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-ingleses-do-rio-vermelho-florianopolis-53m2-id-2766329822/,venda,apartamento,2024-12-25 18:21:32
"Ingleses do Rio Vermelho, Florianópolis",R$ 385.000,68 m²,2,2,1,Servidão Nossa Senhora Aparecida,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-ingleses-do-rio-vermelho-florianopolis-68m2-id-2765788119/,venda,apartamento,2024-12-25 18:21:32
