titulo,valor,metragem,quartos,banheiros,vagas,endereco,link,categoria,tipo,timestamp
"João Paulo, Florianópolis",R$ 939.000,100 m²,3,2,2,Rodovia João Paulo,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-joao-paulo-florianopolis-sc-100m2-id-2712394566/,venda,apartamento,2024-12-25 21:45:40
"Agronômica, Florianópolis",A partir deR$ 1.433.789,78 - 211 m²,2 - 3,2 - 3,1 - 3,Rua Allan Kardec,https://www.zapimoveis.com.br/lancamento/venda-apartamento-3-quartos-agronomica-florianopolis-sc-211m2-id-2744841416/,venda,apartamento,2024-12-25 21:45:40
"Coloninha, Florianópolis",R$ 884.000,125 m²,3,2,1,,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-capoeiras-florianopolis-sc-125m2-id-2700470274/,venda,apartamento,2024-12-25 21:45:40
"Centro, Florianópolis",R$ 1.400.000,94 m²,3,2,2,Rua Jairo Callado,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-centro-florianopolis-sc-94m2-id-2746594298/,venda,apartamento,2024-12-25 21:45:40
"Capoeiras, Florianópolis",R$ 640.000,80 m²,3,2,1,Avenida Vereador Nagib Jabor,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-capoeiras-florianopolis-80m2-id-2765785737/,venda,apartamento,2024-12-25 21:45:40
"Centro, Florianópolis",R$ 875.000,93 m²,3,2,1,Rua Ferreira Lima,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-centro-florianopolis-93m2-id-2762770528/,venda,apartamento,2024-12-25 21:45:40
"Estreito, Florianópolis",R$ 610.000,102 m²,3,2,1,Rua Souza Dutra,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-estreito-florianopolis-102m2-id-2766511359/,venda,apartamento,2024-12-25 21:45:40
"Jardim Atlântico, Florianópolis",R$ 300.000,76 m²,3,1,1,Rua Evaldo Schaeffer,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-jardim-atlantico-florianopolis-76m2-id-2766198569/,venda,apartamento,2024-12-25 21:45:40
"Canasvieiras, Florianópolis",A partir deR$ 304.777,31 - 183 m²,0 - 3,1 - 3,0 - 2,Rua das Flores,https://www.zapimoveis.com.br/lancamento/venda-apartamento-3-quartos-canasvieiras-florianopolis-sc-183m2-id-2728815841/,venda,apartamento,2024-12-25 21:45:40
"Coloninha, Florianópolis",R$ 690.000,83 m²,3,1,1,Rua João Evangelista da Costa,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-coloninha-florianopolis-83m2-id-2664374901/,venda,apartamento,2024-12-25 21:45:40
"Trindade, Florianópolis",R$ 830.000,84 m²,3,2,1,Rua Lauro Linhares,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-trindade-florianopolis-84m2-id-2766181550/,venda,apartamento,2024-12-25 21:45:40
"Carvoeira, Florianópolis",R$ 699.000,84 m²,3,2,1,Rua José João Martendal,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-carvoeira-florianopolis-84m2-id-2766300250/,venda,apartamento,2024-12-25 21:45:40
"Canto, Florianópolis",R$ 530.000,92 m²,3,2,1,Rua Araci Vaz Callado,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-canto-florianopolis-92m2-id-2766194852/,venda,apartamento,2024-12-25 21:45:40
"Pantanal, Florianópolis",R$ 610.000,92 m²,3,2,1,Rua Deputado Antônio Edu Vieira,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-pantanal-florianopolis-92m2-id-2664848595/,venda,apartamento,2024-12-25 21:45:40
"Capoeiras, Florianópolis",R$ 680.000,130 m²,3,2 - 3,2,Avenida Vereador Nagib Jabor,,venda,apartamento,2024-12-25 21:45:40
"Capoeiras, Florianópolis",R$ 680.000,130 m²,3,2 - 3,2,Avenida Vereador Nagib Jabor,,venda,apartamento,2024-12-25 21:45:40
