titulo,valor,metragem,quartos,banheiros,vagas,endereco,link,categoria,tipo,timestamp
"Campeche, Florianópolis",A partir deR$ 1.200.000,204 m²,3,3,3,Rua José Elias Lopes,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-campeche-florianopolis-sc-204m2-id-2753173337/,venda,casa,2024-12-26 04:08:50
"Cachoeira do Bom Jesus, Florianópolis",R$ 601.200,80 m²,2,2,,Rua Leonel Pereira,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-cachoeira-do-bom-jesus-florianopolis-sc-80m2-id-2724219580/,venda,casa,2024-12-26 04:08:50
"Saco Grande, Florianópolis",R$ 1.739.000,205 m²,3,1,2,Rodovia Virgílio Várzea,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-mobiliado-saco-grande-florianopolis-sc-205m2-id-2727191042/,venda,casa,2024-12-26 04:08:50
"Ingleses do Rio Vermelho, Florianópolis",R$ 850.000,150 m²,3,3,2,Rua dos Canudos,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-churrasqueira-ingleses-do-rio-vermelho-florianopolis-150m2-id-2765781126/,venda,casa,2024-12-26 04:08:50
"Ingleses do Rio Vermelho, Florianópolis",R$ 479.000,70 m²,2,2,2,,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-ingleses-do-rio-vermelho-florianopolis-70m2-id-2765307771/,venda,casa,2024-12-26 04:08:50
"Vargem do Bom Jesus, Florianópolis",R$ 320.000,80 m²,3,2,2,Rua Fabriciano Inácio Monteiro,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-vargem-do-bom-jesus-florianopolis-80m2-id-2765304084/,venda,casa,2024-12-26 04:08:50
"São João do Rio Vermelho, Florianópolis",R$ 510.000,92 m²,2,3,2,Servidão Manoel Machado Aguiar,https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-quintal-sao-joao-do-rio-vermelho-florianopolis-92m2-id-2765741822/,venda,casa,2024-12-26 04:08:50
"Ingleses do Rio Vermelho, Florianópolis",R$ 478.530,70 m²,2,2,1 - 3,Servidão Nova Era,,venda,casa,2024-12-26 04:08:50
"Ingleses do Rio Vermelho, Florianópolis",R$ 478.530,70 m²,2,2,1 - 3,Servidão Nova Era,,venda,casa,2024-12-26 04:08:50
"São João do Rio Vermelho, Florianópolis",R$ 494.450,158 m²,3,5,2,Rodovia João Gualberto Soares,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-sao-joao-do-rio-vermelho-florianopolis-158m2-id-2765912601/,venda,casa,2024-12-26 04:08:50
"Ingleses do Rio Vermelho, Florianópolis",R$ 479.000,70 m²,2,2,2,,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-quintal-ingleses-do-rio-vermelho-florianopolis-70m2-id-2764385155/,venda,casa,2024-12-26 04:08:50
"Ingleses do Rio Vermelho, Florianópolis",R$ 540.000,111 m²,3,3,1,Servidão Manoel Justino Machado,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-ingleses-do-rio-vermelho-florianopolis-111m2-id-2765470041/,venda,casa,2024-12-26 04:08:50
"São João do Rio Vermelho, Florianópolis",R$ 589.450,150 m²,3,5,2,Rodovia João Gualberto Soares,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-sao-joao-do-rio-vermelho-florianopolis-150m2-id-2765916033/,venda,casa,2024-12-26 04:08:50
"Vargem Grande, Florianópolis",R$ 290.000,70 m²,2,1,2,Servidão Lino Manoel da Costa,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-vargem-grande-florianopolis-70m2-id-2764813738/,venda,casa,2024-12-26 04:08:50
"Ingleses do Rio Vermelho, Florianópolis",R$ 479.000,70 m²,2,2,2,Servidão Nova Era,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-ingleses-do-rio-vermelho-florianopolis-70m2-id-2764362446/,venda,casa,2024-12-26 04:08:50
"São João do Rio Vermelho, Florianópolis",R$ 480.000,92 m²,2,1,2,Rua Candido Pereira dos Anjos,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-sao-joao-do-rio-vermelho-florianopolis-92m2-id-2763856716/,venda,casa,2024-12-26 04:08:50
"São João do Rio Vermelho, Florianópolis",R$ 599.000,100 m²,3,1,1,Rua Recanto do Parque,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-mobiliado-sao-joao-do-rio-vermelho-florianopolis-100m2-id-2765408532/,venda,casa,2024-12-26 04:08:50
"São João do Rio Vermelho, Florianópolis",R$ 485.000,92 m²,2,3,2,Servidão Manoel Machado Aguiar,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-sao-joao-do-rio-vermelho-florianopolis-92m2-id-2763856224/,venda,casa,2024-12-26 04:08:50
"São João do Rio Vermelho, Florianópolis",R$ 550.000,95 m²,3,2,2,Servidão Cipriano Nunes,,venda,casa,2024-12-26 04:08:50
"São João do Rio Vermelho, Florianópolis",R$ 550.000,95 m²,3,2,2,Servidão Cipriano Nunes,,venda,casa,2024-12-26 04:08:50
"Ingleses do Rio Vermelho, Florianópolis",R$ 679.020,155 m²,3,2,2,Servidão Ayrton Senna,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-ingleses-do-rio-vermelho-florianopolis-155m2-id-2765915763/,venda,casa,2024-12-26 04:08:50
"São João do Rio Vermelho, Florianópolis",R$ 304.250,50 m²,2,2,1,Servidão Lua Branca,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-sao-joao-do-rio-vermelho-florianopolis-50m2-id-2765914255/,venda,casa,2024-12-26 04:08:50
"Vargem Pequena, Florianópolis",R$ 579.460,230 m²,2,2,2,Estrada Manoel Leôncio de Souza Brito,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-vargem-pequena-florianopolis-230m2-id-2765918866/,venda,casa,2024-12-26 04:08:50
"São João do Rio Vermelho, Florianópolis",R$ 384.010,80 m²,2,3,1,Servidão Joesi Guimarães da Silva,,venda,casa,2024-12-26 04:08:50
"São João do Rio Vermelho, Florianópolis",R$ 384.010,80 m²,2,3,1,Servidão Joesi Guimarães da Silva,,venda,casa,2024-12-26 04:08:50
"São João do Rio Vermelho, Florianópolis",R$ 535.000,137 m²,2,2,2,Servidão Gralha Azul,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-sao-joao-do-rio-vermelho-florianopolis-137m2-id-2763855359/,venda,casa,2024-12-26 04:08:50
"Vargem Pequena, Florianópolis",R$ 579.000,230 m²,2,2,,Estrada Manoel Leôncio de Souza Brito,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-armario-de-cozinha-vargem-pequena-florianopolis-230m2-id-2765728527/,venda,casa,2024-12-26 04:08:50
"São João do Rio Vermelho, Florianópolis",R$ 498.000,92 m²,2,3,1,Servidão Manoel Machado Aguiar,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-quintal-sao-joao-do-rio-vermelho-florianopolis-92m2-id-2765471041/,venda,casa,2024-12-26 04:08:50
"São João do Rio Vermelho, Florianópolis",R$ 510.000,91 m²,3,2,1,Servidão Manoel Machado Aguiar,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-sao-joao-do-rio-vermelho-florianopolis-91m2-id-2763855154/,venda,casa,2024-12-26 04:08:50
"São João do Rio Vermelho, Florianópolis",R$ 530.000,112 m²,3,3,1,,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-piscina-sao-joao-do-rio-vermelho-florianopolis-112m2-id-2752824297/,venda,casa,2024-12-26 04:08:50
"São João do Rio Vermelho, Florianópolis",R$ 720.000,110 m²,2,2,2,Servidão Caminho do Arvoredo,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-area-de-lazer-sao-joao-do-rio-vermelho-florianopolis-110m2-id-2765741518/,venda,casa,2024-12-26 04:08:50
"Ingleses do Rio Vermelho, Florianópolis",R$ 645.000,200 m²,3,1,1,Servidão Laureano João dos Santos,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-mobiliado-ingleses-do-rio-vermelho-florianopolis-200m2-id-2500234807/,venda,casa,2024-12-26 04:08:50
"Ingleses do Rio Vermelho, Florianópolis",R$ 390.000,100 m²,2,1,,Servidão dos Pinheiros,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-ingleses-do-rio-vermelho-florianopolis-100m2-id-2763854629/,venda,casa,2024-12-26 04:08:50
"Ingleses do Rio Vermelho, Florianópolis",R$ 399.390,90 m²,2,2,1,Servidão Dercidio Manoel Sagáz,https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-churrasqueira-ingleses-do-rio-vermelho-florianopolis-90m2-id-2766011900/,venda,casa,2024-12-26 04:08:50
"São João do Rio Vermelho, Florianópolis",R$ 698.000,200 m²,3,1,2 - 4,Servidão Recanto dos Manacás,,venda,casa,2024-12-26 04:08:50
