titulo,valor,metragem,quartos,banheiros,vagas,endereco,link,categoria,tipo,timestamp
"Santa Mônica, Florianópolis",R$ 1.590.000,95 m²,3,2,2,Avenida Madre Benvenuta,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-santa-monica-florianopolis-sc-95m2-id-2760427858/,venda,apartamento,2024-12-20 20:04:17
"Itacorubi, Florianópolis",R$ 690.000,86 m²,3,2,1,Rodovia Admar Gonzaga,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-itacorubi-florianopolis-86m2-id-2764759030/,venda,apartamento,2024-12-20 20:04:17
"Santa Mônica, Florianópolis",R$ 317.639,28 m²,1,1,,Rua Félix Kleis,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-santa-monica-florianopolis-28m2-id-2762251404/,venda,apartamento,2024-12-20 20:04:17
"Santa Mônica, Florianópolis",R$ 621.134,59 m²,2,1,1,Rua Félix Kleis,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-santa-monica-florianopolis-59m2-id-2762258679/,venda,apartamento,2024-12-20 20:04:17
"Santa Mônica, Florianópolis",R$ 440.395,38 m²,1,1,,Rua Félix Kleis,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-santa-monica-florianopolis-38m2-id-2762265728/,venda,apartamento,2024-12-20 20:04:17
"Santa Mônica, Florianópolis",R$ 621.134,59 m²,2,1,1,Rua Félix Kleis,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-santa-monica-florianopolis-59m2-id-2760094470/,venda,apartamento,2024-12-20 20:04:17
"Santa Mônica, Florianópolis",R$ 889.720,76 m²,2,3,1,Rua Juvenal Farias,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-santa-monica-florianopolis-76m2-id-2756845016/,venda,apartamento,2024-12-20 20:04:17
"Santa Mônica, Florianópolis",R$ 2.250.000,348 m²,4,4,4,Rua Coronel Maurício Spalding de Souza,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-mobiliado-santa-monica-florianopolis-348m2-id-2752475008/,venda,apartamento,2024-12-20 20:04:17
"Santa Mônica, Florianópolis",R$ 340.000,29 m²,1,1,,Rua Juvenal Farias,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-santa-monica-florianopolis-29m2-id-2735248276/,venda,apartamento,2024-12-20 20:04:17
"Santa Mônica, Florianópolis",R$ 1.590.000,95 m²,3,2,2,Avenida Madre Benvenuta,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-santa-monica-florianopolis-95m2-id-2760427858/,venda,apartamento,2024-12-20 20:04:17
"Santa Mônica, Florianópolis",R$ 413.335,37 m²,1,1,,Rua Félix Kleis,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-santa-monica-florianopolis-37m2-id-2761350536/,venda,apartamento,2024-12-20 20:04:17
"Santa Mônica, Florianópolis",R$ 3.000.000,257 m²,3,5,2,Rua Juvenal Farias,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-santa-monica-florianopolis-257m2-id-2730041623/,venda,apartamento,2024-12-20 20:04:17
"Santa Mônica, Florianópolis",R$ 1.950.000,194 m²,4,4,2,Rua Cônego Thomaz Fontes,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-cozinha-santa-monica-florianopolis-194m2-id-2728458617/,venda,apartamento,2024-12-20 20:04:17
"Santa Mônica, Florianópolis",R$ 1.250.000,82 m²,3,2 - 3,2,Avenida Madre Benvenuta,,venda,apartamento,2024-12-20 20:04:17
"Santa Mônica, Florianópolis",R$ 1.250.000,82 m²,3,2 - 3,2,Avenida Madre Benvenuta,,venda,apartamento,2024-12-20 20:04:17
"Santa Mônica, Florianópolis",R$ 2.000.000,93 m²,3,4,2,Avenida Madre Benvenuta,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-santa-monica-florianopolis-93m2-id-2678018897/,venda,apartamento,2024-12-20 20:04:17
"Santa Mônica, Florianópolis",R$ 1.980.000,179 m²,4,3,2,Rua Professor Gilberto Cabussu,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-churrasqueira-santa-monica-florianopolis-179m2-id-2662565262/,venda,apartamento,2024-12-20 20:04:17
"Santa Mônica, Florianópolis",R$ 935.740,77 m²,2,1,1,Rua Juvenal Farias,,venda,apartamento,2024-12-20 20:04:17
"Santa Mônica, Florianópolis",R$ 935.740,77 m²,2,1,1,Rua Juvenal Farias,,venda,apartamento,2024-12-20 20:04:17
"Santa Mônica, Florianópolis",R$ 935.740,26 m²,2,3,1,Rua Juvenal Farias,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-santa-monica-florianopolis-26m2-id-2756845013/,venda,apartamento,2024-12-20 20:04:17
