titulo,valor,metragem,quartos,banheiros,vagas,endereco,link,categoria,tipo,timestamp
"Saco Grande, Florianópolis",R$ 1.958.000,231 m²,3,1,2,Rodovia Virgílio Várzea,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-saco-grande-florianopolis-sc-231m2-id-2727191435/,venda,casa,2024-12-24 19:12:35
"Cachoeira do Bom Jesus, Florianópolis",R$ 1.800.000,197 m²,4,4,,Servidão Maria Serafina de Oliveira,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-piscina-cachoeira-do-bom-jesus-florianopolis-sc-197m2-id-2737758331/,venda,casa,2024-12-24 19:12:35
"Córrego Grande, Florianópolis",R$ 1.600.000,209 m²,3,1,2,Rua Acadêmico Reinaldo Consoni,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-mobiliado-corrego-grande-florianopolis-sc-209m2-id-2761649456/,venda,casa,2024-12-24 19:12:35
"Ingleses do Rio Vermelho, Florianópolis",R$ 405.000,91 m²,2,3,1,Servidão do Gerivá,https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-ingleses-do-rio-vermelho-florianopolis-91m2-id-2765999040/,venda,casa,2024-12-24 19:12:35
"Cachoeira do Bom Jesus, Florianópolis",R$ 520.000,87 m²,2,3,2,Servidão Rosino Genézio dos Santos,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-cachoeira-do-bom-jesus-florianopolis-87m2-id-2765998956/,venda,casa,2024-12-24 19:12:35
"São João do Rio Vermelho, Florianópolis",R$ 780.000,149 m²,3,2,2,Rua Candido Pereira dos Anjos,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-sao-joao-do-rio-vermelho-florianopolis-149m2-id-2765000251/,venda,casa,2024-12-24 19:12:35
"São João do Rio Vermelho, Florianópolis",R$ 490.000,95 m²,2,2,2,Servidão Manoel Machado Aguiar,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-sao-joao-do-rio-vermelho-florianopolis-95m2-id-2765999048/,venda,casa,2024-12-24 19:12:35
"Ingleses do Rio Vermelho, Florianópolis",R$ 265.000,56 m²,2,1,1,Servidão Dercidio Manoel Sagáz,,venda,casa,2024-12-24 19:12:35
"Ingleses do Rio Vermelho, Florianópolis",R$ 265.000,56 m²,2,1,1,Servidão Dercidio Manoel Sagáz,,venda,casa,2024-12-24 19:12:35
"São João do Rio Vermelho, Florianópolis",R$ 510.000,92 m²,2,3,2,Servidão Manoel Machado Aguiar,https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-varanda-sao-joao-do-rio-vermelho-florianopolis-92m2-id-2765741822/,venda,casa,2024-12-24 19:12:35
"Ingleses do Rio Vermelho, Florianópolis",R$ 520.000,88 m²,2,2,2,Rua da Velha Figueira,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-ingleses-do-rio-vermelho-florianopolis-88m2-id-2765741916/,venda,casa,2024-12-24 19:12:35
"São João do Rio Vermelho, Florianópolis",R$ 550.000,95 m²,3,2,2,Servidão Cipriano Nunes,,venda,casa,2024-12-24 19:12:35
"São João do Rio Vermelho, Florianópolis",R$ 550.000,95 m²,3,2,2,Servidão Cipriano Nunes,,venda,casa,2024-12-24 19:12:35
"São João do Rio Vermelho, Florianópolis",R$ 670.000,89 m²,2,3,2,Rua Candido Pereira dos Anjos,https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-varanda-sao-joao-do-rio-vermelho-florianopolis-89m2-id-2765742114/,venda,casa,2024-12-24 19:12:35
"Ingleses do Rio Vermelho, Florianópolis",R$ 749.170,95 m²,3,3,2,Rua Dário Manoel Cardoso,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-ingleses-do-rio-vermelho-florianopolis-95m2-id-2765908248/,venda,casa,2024-12-24 19:12:35
"Cachoeira do Bom Jesus, Florianópolis",R$ 700.000,110 m²,2,1,10,Rua Leonel Pereira,,venda,casa,2024-12-24 19:12:35
"Cachoeira do Bom Jesus, Florianópolis",R$ 700.000,110 m²,2,1,10,Rua Leonel Pereira,,venda,casa,2024-12-24 19:12:35
"São João do Rio Vermelho, Florianópolis",R$ 275.000,81 m²,2,1,1,Servidão Honorina Rosa Silva,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-sao-joao-do-rio-vermelho-florianopolis-81m2-id-2766068118/,venda,casa,2024-12-24 19:12:35
