categoria,tipo,bairro,cidade,endereco,valor,dia/mes,metragem,quartos,banheiros,vagas,link,timestamp
aluguel,apartamento,Jurerê Internacional,Florianópolis,,12000,mês,234,3,2,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-jurere-internacional-florianopolis-sc-234m2-id-2729524462/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Rua das Piraúnas,400,dia,105,2,3,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-105m2-id-2508860396/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Búzios,1800,dia,146,3,4,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-jurere-internacional-florianopolis-146m2-id-2657448922/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Búzios,1000,dia,60,2,2,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-60m2-id-2511858599/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Búzios,300,dia,180,3,3,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-jurere-internacional-florianopolis-180m2-id-2484517526/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida das Raias,1200,dia,100,3,3,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-jurere-internacional-florianopolis-100m2-id-2664871101/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Rua das Piraúnas,1500,dia,104,2,2,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-104m2-id-2750852022/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Búzios,3400,dia,108,2,1,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-jurere-internacional-florianopolis-108m2-id-2754756824/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Salmões,400,dia,110,2,3,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-110m2-id-2488201180/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,,2000,dia,100,2,3,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-100m2-id-2538368478/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida das Raias,2000,dia,90,2,2,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-90m2-id-2549070216/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida das Raias,1000,dia,80,2,2,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-80m2-id-2638112143/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Salmões,4500,mês,57,1,1,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-piscina-jurere-internacional-florianopolis-57m2-id-2722683764/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Dourados,5700,mês,91,3,3,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-jurere-internacional-florianopolis-91m2-id-2735404966/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Dourados,1800,dia,127,3,3,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-jurere-internacional-florianopolis-127m2-id-2734592191/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Salmões,1600,dia,70,2,2,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-70m2-id-2657452170/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida das Raias,1500,dia,100,2,2,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-100m2-id-2657449814/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Salmões,180,dia,50,1,1,0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-jurere-internacional-florianopolis-50m2-id-2484008724/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Salmões,1400,dia,210,3,1,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-ar-condicionado-jurere-internacional-florianopolis-210m2-id-2752019401/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Salmões,1400,dia,150,3,3,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-churrasqueira-jurere-internacional-florianopolis-150m2-id-2657450884/,2024-12-20 20:09:54
